Time,BL17:CS:IPTS,BL17:CS:RunControl:LastRunNumber,BL17:Chop:Skf1:EnergyReq,BL17:Chop:Skf1:SpeedReq,BL17:Chop:Skf2:EnergyReq,BL17:Chop:Skf2:SpeedReq,BL17:Chop:Skf3:EnergyReq,BL17:Chop:Skf3:SpeedReq,BL17:Det:PCharge:C,BL17:Mot:Sample:Axis1,BL17:Mot:attenuator1,BL17:Mot:attenuator2,BL17:Mot:chtrans,BL17:SE:Lakeshore1:SETP_S1,BL17:SMS:RunInfo:RunTitle
2018-08-31 02:18:59.275,21308.0,154210.0,160.0,120.0,160.0,120.0,160.0,600.0,1.0000857611398086,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=160meV F2=600 T0=120
2018-08-31 02:39:19.264,21308.0,154211.0,160.0,120.0,160.0,120.0,160.0,600.0,1.000017279479778,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=160meV F2=600 T0=120
2018-08-31 03:02:58.170,21308.0,154212.0,55.0,90.0,55.0,120.0,55.0,420.0,1.0000302337197287,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=55meV F2=430 T0=90
2018-08-31 03:23:18.014,21308.0,154213.0,55.0,90.0,55.0,120.0,55.0,420.0,1.0000538091897093,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=55meV F2=430 T0=90
2018-08-31 03:46:48.210,21308.0,154214.0,32.0,60.0,32.0,120.0,32.0,300.0,1.0000543134997413,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=32meV F2=300 T0=60
2018-08-31 04:07:09.088,21308.0,154215.0,32.0,60.0,32.0,120.0,32.0,300.0,1.0000144073497963,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=32meV F2=300 T0=60
2018-08-31 04:30:42.183,21308.0,154216.0,16.0,30.0,16.0,120.0,16.0,180.0,1.0000160220197298,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=16meV F2=180 T0=30
2018-08-31 04:51:03.195,21308.0,154217.0,16.0,30.0,16.0,120.0,16.0,180.0,1.0001073790397208,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=16meV F2=180 T0=30
2018-08-31 05:14:14.204,21308.0,154218.0,8.0,30.0,8.0,120.0,8.0,120.0,1.0000811937697776,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=8 meV F2=120 T0=30
2018-08-31 05:34:59.380,21308.0,154219.0,8.0,30.0,8.0,120.0,8.0,120.0,1.0000500686798972,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=8 meV F2=120 T0=30
